t,V,V_sum,sea_level,sea_level_cumulative
2020.0,638281730.0837324,638281730.0837324,0.001617254237929745,0.001617254237929745
2020.25,636498393.2474198,1274780123.3311522,0.001612735686136316,0.003229989924066061
2020.5,634720209.2475044,1909500332.5786567,0.0016082301904059198,0.004838220114471981
2020.75,482138100.00048214,2391638432.5791388,0.0012216233815604991,0.00605984349603248
2021.0,480802490.8318908,2872440923.41103,0.0012182392652897126,0.007278082761322193
2021.25,479470759.47788507,3351911682.888915,0.001214864974479654,0.008492947735801847
2021.5,478142897.48561966,3830054580.3745346,0.0012115004877128225,0.00970444822351467
2021.75,476818896.40847546,4306873476.7830105,0.0012081457835874919,0.010912594007102162
2022.0,638548320.9662467,4945421797.749257,0.0016179297158797142,0.012530523722981876
2022.25,636719074.1952887,5582140871.944546,0.0016132948392208394,0.014143818562202716
2022.5,634895418.4033358,6217036290.347881,0.0016086741287742565,0.015752492690976973
2022.75,633077338.5885528,6850113628.936434,0.0016040675465288795,0.017356560237505852
2023.0,631264819.7844573,7481378448.720891,0.0015994750545631979,0.01895603529206905
2023.25,629457847.0599747,8110836295.780866,0.001594896615045417,0.020550931907114465
2023.5,627656405.5192659,8738492701.30013,0.0015903321902330197,0.022141264097347485
2023.75,625860480.3017035,9364353181.601833,0.0015857817424727075,0.02372704583982019
2024.0,624070056.5817635,9988423238.183598,0.0015812452342001254,0.025308291074020318
2024.25,622285119.5690466,10610708357.752644,0.001576722627939916,0.026885013701960232
2024.5,620505654.5080999,11231214012.260744,0.0015722138863052675,0.0284572275882655
2024.75,618731646.6783981,11849945658.939142,0.001567718971997867,0.030024946560263367
2025.0,616963081.3942996,12466908740.333443,0.0015632378478077878,0.03158818440807115
2025.25,615199944.0049537,13082108684.338396,0.0015587704766132561,0.03314695488468441
2025.5,613442219.8942324,13695550904.232628,0.0015543168213804758,0.034701271706064886
2025.75,611689894.4806591,14307240798.713287,0.0015498768451634507,0.03625114855122834
2026.0,609942953.2173709,14917183751.930658,0.0015454505111038865,0.03779659906233222
2026.25,608201381.591996,15525385133.522654,0.0015410377824308815,0.0393376368447631
2026.5,606465165.1266289,16131850298.649282,0.0015366386224608633,0.04087427546722396
2026.75,604734289.3777902,16736584588.027073,0.001532252994597487,0.04240652846182145
2027.0,603008739.9362913,17339593327.963364,0.0015278808623312929,0.04393440932415274
2027.25,601288502.4272072,17940881830.39057,0.0015235221892396361,0.04545793151339238
2027.5,599573562.5098219,18540455392.900394,0.0015191769389865507,0.04697710845237893
2027.75,597863905.8775221,19138319298.777916,0.0015148450753224773,0.04849195352770141
2028.0,596159518.2577716,19734478817.035686,0.0015105265620842011,0.05000248008978561
2028.25,594460385.4120436,20328939202.44773,0.001506221363194678,0.05150870145298029
2028.5,592766493.1357086,20921705695.58344,0.0015019294426627527,0.05301063089564304
2028.75,591077827.2580206,21512783522.84146,0.0014976507645831218,0.054508281660226164
2029.0,589394373.6420289,22102177896.48349,0.001493385293136111,0.05600166695336228
2029.25,587716118.1845222,22689894014.66801,0.0014891329925875343,0.057490799945949814
2029.5,586043046.8159641,23275937061.483974,0.0014848938272885297,0.058975693773238344
2029.75,584375145.5003989,23860312206.984375,0.0014806677616753209,0.06045636153491366
2030.0,582712400.235418,24443024607.21979,0.0014764547602691312,0.061932816295182797
2030.25,581054797.0521319,25024079404.271923,0.0014722547876761139,0.06340507108285891
2030.5,579402322.014984,25603481726.286907,0.0014680678085868804,0.06487313889144579
2030.75,577754961.2218219,26181236687.508728,0.001463893787776679,0.06633703267922247
2031.0,576112700.8037754,26757349388.312504,0.0014597326901050888,0.06779676536932756
2031.25,574475526.925144,27331824915.237648,0.0014555844805157322,0.0692523498498433
2031.5,572843425.7834586,27904668341.021107,0.0014514491240364318,0.07070379897387973
2031.75,571216383.6092746,28475884724.630383,0.0014473265857786876,0.07215112555965841
2032.0,569594386.6661972,29045479111.29658,0.0014432168309377383,0.07359434239059615
2032.25,567977421.2507938,29613456532.547375,0.0014391198247923425,0.0750334622153885
2032.5,566365473.6925517,30179822006.239925,0.001435035532704669,0.07646849774809317
2032.75,564758530.3537657,30744580536.593693,0.0014309639201200135,0.07789946166821318
2033.0,563156577.6295221,31307737114.223213,0.0014269049525667571,0.07932636662077994
2033.25,561559601.947612,31869296716.170826,0.0014228585956561485,0.08074922521643609
2033.5,559967589.7684913,32429264305.939316,0.0014188248150821983,0.08216805003151828
2033.75,558380527.5851588,32987644833.524475,0.001414803576621377,0.08358285360813966
