t,V,V_sum,sea_level,sea_level_cumulative
2020.0,159570432.5209331,159570432.5209331,0.00040431355948243624,0.00040431355948243624
2020.25,159124598.31185496,318695030.83278805,0.000403183921534079,0.0008074974810165153
2020.5,158680052.3118761,477375083.14466417,0.00040205754760147994,0.0012095550286179953
2020.75,120534525.00012054,597909608.1447847,0.0003054058453901248,0.00151496087400812
2021.0,120200622.7079727,718110230.8527575,0.00030455981632242815,0.0018195206903305482
2021.25,119867689.86947127,837977920.7222288,0.0003037162436199135,0.002123236933950462
2021.5,119535724.37140492,957513645.0936337,0.0003028751219282056,0.0024261120558786674
2021.75,119204724.10211886,1076718369.1957526,0.00030203644589687297,0.0027281485017755405
2022.0,159637080.24156168,1236355449.4373143,0.00040448242896992854,0.003132630930745469
2022.25,159179768.54882216,1395535217.9861364,0.00040332370980520986,0.003535954640550679
2022.5,158723854.60083395,1554259072.5869703,0.0004021685321935641,0.003938123172744243
2022.75,158269334.6471382,1712528407.2341084,0.00040101688663221987,0.004339140059376463
2023.0,157816204.94611433,1870344612.1802227,0.00039986876364079947,0.004739008823017262
2023.25,157364461.76499367,2027709073.9452164,0.0003987241537613543,0.005137732976778616
2023.5,156914101.37981647,2184623175.3250327,0.00039758304755825493,0.005535316024336871
2023.75,156465120.07542586,2341088295.4004583,0.0003964454356181769,0.005931761459955048
2024.0,156017514.14544088,2497105809.5458994,0.00039531130855003136,0.0063270727685050794
2024.25,155571279.89226165,2652677089.438161,0.000394180656984979,0.006721253425490058
2024.5,155126413.62702498,2807803503.065186,0.0003930534715763169,0.007114306897066375
2024.75,154682911.66959953,2962486414.7347856,0.00039192974299946676,0.007506236640065842
2025.0,154240770.3485749,3116727185.0833607,0.00039080946195194696,0.007897046102017788
2025.25,153799986.00123844,3270527171.084599,0.00038969261915331404,0.008286738721171102
2025.5,153360554.9735581,3423887726.058157,0.00038857920534511895,0.008675317926516221
2025.75,152922473.62016478,3576810199.678322,0.00038746921129086267,0.009062787137807084
2026.0,152485738.30434272,3729295937.9826646,0.0003863626277759716,0.009449149765583056
2026.25,152050345.397999,3881346283.3806634,0.00038525944560772037,0.009834409211190775
2026.5,151616291.28165722,4032962574.6623206,0.00038415965561521584,0.01021856886680599
2026.75,151183572.34444755,4184146147.006768,0.00038306324864937176,0.010601632115455362
2027.0,150752184.98407283,4334898331.990841,0.0003819702155828232,0.010983602331038185
2027.25,150322125.6068018,4485220457.597643,0.00038088054730990904,0.011364482878348094
2027.5,149893390.62745547,4635113848.225099,0.0003797942347466377,0.011744277113094732
2027.75,149465976.46938053,4784579824.694479,0.00037871126883061933,0.012122988381925352
2028.0,149039879.5644429,4933619704.258922,0.0003776316405210503,0.012500620022446403
2028.25,148615096.3530109,5082234800.611933,0.0003765553407986695,0.012877175363245072
2028.5,148191623.28392714,5230426423.89586,0.0003754823606656882,0.01325265772391076
2028.75,147769456.81450516,5378195880.710365,0.00037441269114578044,0.013627070415056541
2029.0,147348593.41050723,5525544474.1208725,0.00037334632328402773,0.01400041673834057
2029.25,146929029.54613054,5672473503.667003,0.0003722832481468836,0.014372699986487453
2029.5,146510761.70399103,5818984265.370994,0.00037122345682213243,0.014743923443309586
2029.75,146093786.37509972,5965078051.746094,0.0003701669404188302,0.015114090383728416
2030.0,145678100.0588545,6110756151.804948,0.0003691136900672828,0.015483204073795699
2030.25,145263699.26303297,6256019851.067981,0.00036806369691902847,0.015851267770714727
2030.5,144850580.503746,6400870431.571727,0.0003670169521467201,0.016218284722861447
2030.75,144438740.30545548,6545309171.877182,0.00036597344694416973,0.01658425816980562
2031.0,144028175.20094386,6689337347.078126,0.0003649331725262722,0.01694919134233189
2031.25,143618881.731286,6832956228.809412,0.00036389612012893306,0.017313087462460824
2031.5,143210856.44586465,6976167085.255277,0.00036286228100910795,0.01767594974346993
2031.75,142804095.90231866,7118971181.157596,0.0003618316464446719,0.018037781389914603
2032.0,142398596.6665493,7261369777.824145,0.0003608042077344346,0.018398585597649036
2032.25,141994355.31269845,7403364133.136844,0.0003597799561980856,0.018758365553847123
2032.5,141591368.42313793,7544955501.559981,0.00035875888317616727,0.019117124437023292
2032.75,141189632.58844143,7686145134.148423,0.0003577409800300034,0.019474865417053296
2033.0,140789144.40738052,7826934278.555803,0.0003567262381416893,0.019831591655194984
2033.25,140389900.486903,7967324179.0427065,0.0003557146489140371,0.02018730630410902
2033.5,139991897.44212282,8107316076.484829,0.0003547062037705496,0.02054201250787957
2033.75,139595131.8962897,8246911208.381119,0.00035370089415534425,0.020895713402034916
2034.0,139199600.4807981,8386110808.861917,0.0003526987115331748,0.02124841211356809
2034.25,138805299.8351478,8524916108.697064,0.0003516996473893324,0.021600111760957424
2034.5,138412226.60694474,8663328335.304008,0.00035070369322964687,0.021950815454187072
2034.75,138020377.45186907,8801348712.755878,0.0003497108405804066,0.02230052629476748
2035.0,137629749.03368413,8938978461.789562,0.00034872108098838047,0.022649247375755858
2035.25,137240338.02418962,9076218799.813751,0.0003477344060206999,0.022996981781776556
2035.5,136852141.1032345,9213070940.916986,0.00034675080726489095,0.023343732589041447
2035.75,136465154.95868644,9349536095.875673,0.0003457702763287973,0.023689502865370245
2036.0,136079376.28641877,9485615472.162092,0.00034479280484054725,0.024034295670210794
2036.25,135694801.79029498,9621310273.952387,0.00034381838444851384,0.024378114054659308
2036.5,135311428.18215713,9756621702.134544,0.00034284700682128645,0.024720961061480595
2036.75,134929252.18180445,9891550954.316349,0.0003418786636476156,0.02506283972512821
