t,V,sum,sea_level,sea_level_cumulative
2020.0,31914086.504186615,31914086.504186615,8.086271189648723e-05,8.086271189648723e-05
2020.25,31824919.662370995,63739006.16655761,8.063678430681581e-05,0.00016149949620330306
2020.5,31736010.462375216,95475016.62893283,8.041150952029598e-05,0.00024191100572359904
2020.75,24106905.000024106,119581921.62895694,6.108116907802494e-05,0.000302992174801624
2021.0,24040124.541594543,143622046.17055148,6.0911963264485625e-05,0.0003639041380661096
2021.25,23973537.973894253,167595584.14444572,6.0743248723982705e-05,0.0004246473867900923
2021.5,23907144.874280985,191502729.0187267,6.057502438564113e-05,0.00048522241117573343
2021.75,23840944.820423774,215343673.8391505,6.0407289179374605e-05,0.0005456297003551081
2022.0,31927416.048312332,247271089.88746282,8.089648579398569e-05,0.0006265261861490937
2022.25,31835953.709764436,279107043.5972273,8.066474196104196e-05,0.0007071909281101357
2022.5,31744770.920166794,310851814.51739407,8.043370643871283e-05,0.0007876246345488486
2022.75,31653866.929427642,342505681.4468217,8.020337732644397e-05,0.0008678280118752926
2023.0,31563240.98922287,374068922.4360446,7.99737527281599e-05,0.0009478017646034525
2023.25,31472892.352998734,405541814.7890433,7.974483075227085e-05,0.0010275465953557233
2023.5,31382820.275963295,436924635.0650066,7.951660951165099e-05,0.0011070632048673743
2023.75,31293024.015085176,468217659.0800918,7.928908712363538e-05,0.0011863522919910096
2024.0,31203502.829088174,499421161.9091799,7.906226171000627e-05,0.0012654145537010159
2024.25,31114255.97845233,530535417.88763225,7.883613139699578e-05,0.0013442506850980117
2024.5,31025282.725404996,561560700.6130372,7.861069431526337e-05,0.001422861379413275
2024.75,30936582.333919905,592497282.9469571,7.838594859989334e-05,0.0015012473280131683
2025.0,30848154.069714982,623345437.0166721,7.81618923903894e-05,0.0015794092204035578
2025.25,30759997.20024769,654105434.2169198,7.79385238306628e-05,0.0016573477442342205
2025.5,30672110.99471162,684777545.2116314,7.771584106902379e-05,0.0017350635853032443
2025.75,30584494.724032957,715362039.9356644,7.749384225817255e-05,0.0018125574275614168
2026.0,30497147.66086854,745859187.596533,7.727252555519432e-05,0.0018898299531166112
2026.25,30410069.079599798,776269256.6761327,7.705188912154407e-05,0.0019668818422381553
2026.5,30323258.256331448,806592514.9324641,7.683193112304317e-05,0.0020437137733611984
2026.75,30236714.468889512,836829229.4013536,7.661264972987436e-05,0.0021203264230910727
2027.0,30150436.996814568,866979666.3981682,7.639404311656465e-05,0.0021967204662076373
2027.25,30064425.121360365,897044091.5195286,7.617610946198182e-05,0.002272896575669619
2027.5,29978678.125491098,927022769.6450198,7.595884694932753e-05,0.0023488554226189467
2027.75,29893195.293876108,956915964.9388958,7.574225376612387e-05,0.0024245976763850705
2028.0,29807975.91288858,986723940.8517843,7.552632810421004e-05,0.0025001240044892803
2028.25,29723019.27060218,1016446960.1223866,7.53110681597339e-05,0.002575435072649014
2028.5,29638324.656785425,1046085284.779172,7.509647213313761e-05,0.0026505315447821515
2028.75,29553891.362901032,1075639176.142073,7.488253822915609e-05,0.0027254140830113077
2029.0,29469718.682101447,1105108894.8241744,7.466926465680556e-05,0.002800083347668113
2029.25,29385805.90922611,1134494700.7334006,7.445664962937671e-05,0.00287453999729749
2029.5,29302152.340798203,1163796853.0741987,7.424469136442649e-05,0.0029487846886619164
2029.75,29218757.275019944,1193015610.3492186,7.403338808376604e-05,0.0030228180767456823
2030.0,29135620.011770897,1222151230.3609896,7.382273801345655e-05,0.003096640814759139
2030.25,29052739.85260659,1251203970.213596,7.36127393838057e-05,0.0031702535541429447
2030.5,28970116.100749202,1280174086.3143454,7.340339042934402e-05,0.0032436569445722886
2030.75,28887748.061091095,1309061834.3754365,7.319468938883395e-05,0.0033168516339611223
2031.0,28805635.04018877,1337867469.4156253,7.298663450525444e-05,0.003389838268466377
2031.25,28723776.3462572,1366591245.7618825,7.27792240257866e-05,0.0034626174924921632
2031.5,28642171.28917293,1395233417.0510554,7.25724562018216e-05,0.0035351899486939847
2031.75,28560819.18046373,1423794236.2315192,7.236632928893438e-05,0.0036075562779829193
2032.0,28479719.33330986,1452273955.564829,7.216084154688692e-05,0.003679717119529806
2032.25,28398871.062539693,1480672826.6273687,7.195599123961713e-05,0.0037516731107694232
2032.5,28318273.684627585,1508991100.3119962,7.175177663523344e-05,0.0038234248874046564
2032.75,28237926.51768828,1537229026.8296845,7.154819600600067e-05,0.003894973083410657
2033.0,28157828.881476108,1565386855.7111607,7.134524762833788e-05,0.003966318331038995
2033.25,28077980.097380605,1593464835.8085413,7.114292978280742e-05,0.0040374612608218025
2033.5,27998379.488424562,1621463215.2969658,7.094124075410992e-05,0.0041084025015759125
2033.75,27919026.37925794,1649382241.6762238,7.074017883106884e-05,0.004179142680406981
2034.0,27839920.096159622,1677222161.7723835,7.053974230663497e-05,0.004249682422713616
2034.25,27761059.96702956,1704983221.739413,7.033992947786648e-05,0.004320022352191482
2034.5,27682445.32138895,1732665667.060802,7.014073864592938e-05,0.004390163090837412
2034.75,27604075.490373816,1760269742.5511758,6.994216811608132e-05,0.004460105258953494
2035.0,27525949.806736827,1787795692.3579125,6.97442161976761e-05,0.00452984947515117
2035.25,27448067.604837924,1815243759.9627504,6.954688120413997e-05,0.00459939635635531
2035.5,27370428.2206469,1842614188.1833973,6.935016145297819e-05,0.004668746517808288
2035.75,27293030.991737287,1869907219.1751347,6.915405526575947e-05,0.004737900573074047
2036.0,27215875.25728375,1897123094.4324183,6.895856096810943e-05,0.004806859134042157
2036.25,27138960.358058993,1924262054.7904773,6.876367688970278e-05,0.0048756228109318595
2036.5,27062285.636431426,1951324340.4269087,6.856940136425729e-05,0.0049441922122961165
2036.75,26985850.43636089,1978310190.8632696,6.837573272952312e-05,0.005012567945025639
2037.0,26909654.103397734,2005219844.9666674,6.818266932728035e-05,0.005080750614352919
2037.25,26833695.984675687,2032053540.951343,6.799020950332097e-05,0.005148740823856241
2037.5,26757975.428914487,2058811516.3802576,6.779835160745557e-05,0.005216539175463697
2037.75,26682491.786410775,2085494008.1666684,6.760709399349019e-05,0.005284146269457187
2038.0,26607244.409039576,2112101252.575708,6.741643501923019e-05,0.005351562704476417
2038.25,26532232.650249954,2138633485.2259579,6.722637304646909e-05,0.005418789077522886
2038.5,26457455.865061365,2165090941.091019,6.703690644097947e-05,0.005485825983963865
2038.75,26382913.410060864,2191473854.50108,6.68480335725058e-05,0.00555267401753637
2039.0,26308604.64340036,2217782459.14448,6.665975281475754e-05,0.005619333770351128
2039.25,26234528.924792614,2244016988.069273,6.647206254539898e-05,0.005685805832896527
2039.5,26160685.61551043,2270177673.6847835,6.628496114604716e-05,0.005752090794042574
2039.75,26087074.07838145,2296264747.763165,6.609844700225871e-05,0.005818189241044833
2040.0,26013693.677786507,2322278441.4409513,6.591251850352575e-05,0.005884101759548359
2040.25,25940543.779655583,2348218985.220607,6.572717404326547e-05,0.005949828933591625
2040.5,25867623.751465507,2374086608.972072,6.554241201881447e-05,0.006015371345610439
2040.75,25794932.962236397,2399881541.9343085,6.535823083141966e-05,0.006080729576441859
2041.0,25722470.782529928,2425604012.7168384,6.517462888623388e-05,0.006145904205328093
2041.25,25650236.584445793,2451254249.3012843,6.499160459230697e-05,0.0062108958099204
2041.5,25578229.741616342,2476832479.0429006,6.480915636257212e-05,0.006275704966282972
2041.75,25506449.629208602,2502338928.672109,6.462728261385107e-05,0.006340332248896823
2042.0,25434895.623915963,2527773824.2960253,6.444598176683295e-05,0.006404778230663656
2042.25,25363567.103958085,2553137391.3999834,6.426525224607415e-05,0.006469043482909729
2042.5,25292463.449078858,2578429854.8490624,6.408509247999304e-05,0.006533128575389723
2042.75,25221584.04054133,2603651438.8896036,6.390550090085724e-05,0.0065970340762905805
2043.0,25150928.261125483,2628802367.150729,6.372647594477787e-05,0.006660760552235358
2043.25,25080495.49512505,2653882862.645854,6.354801605170155e-05,0.00672430856828706
2043.5,25010285.128346004,2678893147.7742,6.337011966540656e-05,0.006787678687952466
2043.75,24940296.548101433,2703833444.3223014,6.319278523348983e-05,0.006850871473185955
2044.0,24870529.14320926,2728703973.465511,6.301601120736125e-05,0.006913887484393317
2044.25,24800982.30399137,2753504955.769502,6.283979604224129e-05,0.006976727280435558
2044.5,24731655.422268085,2778236611.19177,6.26641381971472e-05,0.007039391418632705
2044.75,24662547.89135668,2802899159.0831265,6.24890361348891e-05,0.007101880454767594
2045.0,24593659.106066935,2827492818.1891932,6.231448832205877e-05,0.007164194943089653
2045.25,24524988.462701023,2852017806.651894,6.214049322902938e-05,0.007226335436318682
2045.5,24456535.35904641,2876474342.0109406,6.196704932993744e-05,0.007288302485648619
2045.75,24388299.19437856,2900862641.205319,6.179415510268974e-05,0.007350096640751309
2046.0,24320279.369452327,2925182920.5747714,6.162180902894147e-05,0.007411718449780251
2046.25,24252475.28650285,2949435395.8612742,6.14500095940985e-05,0.007473168459374349
2046.5,24184886.349241752,2973620282.210516,6.127875528730776e-05,0.007534447214661657
2046.75,24117511.962852295,2997737794.1733685,6.110804460144499e-05,0.007595555259263102
2047.0,24050351.533990815,3021788145.7073593,6.0937876033118344e-05,0.00765649313529622
2047.25,23983404.47077877,3045771550.1781383,6.076824808264822e-05,0.007717261383378868
2047.5,23916670.182803772,3069688220.360942,6.059915925406991e-05,0.007777860542632938
2047.75,23850148.081114896,3093538368.4420567,6.043060805512174e-05,0.00783829115068806
